ID,Animal,Breed,Gender,Age,Category,Disease,WBC,RBC,Hemoglobin,Platelets,Glucose,ALT,AST,Urea,Creatinine,Symptom_Fever,Symptom_Lethargy,Symptom_Vomiting,Symptom_Diarrhea,Symptom_WeightLoss,Symptom_SkinLesion,Symptom_Coughing,Symptom_Lameness,Symptom_NasalDischarge,Symptom_EyeDischarge,Symptom_Drooling,Symptom_Blisters,WBC_RBC_Ratio,ALT_AST_Ratio,Urea_Creat_Ratio
DEV_0,Goat,Mixed,Male,7.0,Metabolic,Copper Deficiency,10.0,8.1,12.8,,97.0,298.0,35.0,,0.5,0,0,0,0,0,0,0,0,0,0,1,0,1.234567901234568,8.514285714285714,0.0
DEV_1,Goat,,Female,3.1,Metabolic,Copper Deficiency,16.7,7.8,12.3,382.0,81.0,,34.0,22.0,1.5,0,0,0,0,0,0,0,0,0,0,1,0,2.141025641025641,0.0,14.666666666666666
DEV_2,Alpaca,Mixed,Male,9.9,Viral,West Nile Virus,19.3,7.5,14.9,243.0,83.0,36.0,39.0,16.0,0.8,1,0,0,0,0,0,0,0,0,1,0,0,2.5733333333333333,0.9230769230769231,20.0
DEV_3,Lion,Purebred,Female,8.3,Cardiovascular,Congestive Heart Failure,16.8,8.5,14.1,225.0,84.0,31.0,46.0,25.0,,0,0,0,0,0,0,1,0,0,0,0,0,1.9764705882352942,0.6739130434782609,0.0
DEV_4,Cat,Purebred,Male,8.2,Metabolic,Fatty Liver,10.3,6.9,15.6,200.0,99.0,182.0,41.0,14.0,1.6,0,0,0,0,0,1,0,0,0,0,0,0,1.4927536231884058,4.439024390243903,8.75
DEV_5,GuineaPig,Purebred,Male,4.3,Parasitic,Trixacarus Mites,17.8,4.2,,428.0,97.0,18.0,36.0,15.0,1.1,0,0,0,0,0,0,0,0,0,1,0,0,4.238095238095238,0.5,13.636363636363635
DEV_6,Alpaca,Mixed,Male,5.6,Cardiovascular,Arrhythmia,11.7,7.2,17.3,279.0,94.0,37.0,55.0,13.0,1.2,0,0,0,0,0,0,0,0,0,0,0,1,1.6249999999999998,0.6727272727272727,10.833333333333334
DEV_7,GuineaPig,Mixed,Male,5.7,Bacterial,Bordetella Bronchiseptica,28.4,,,463.0,99.0,131.0,137.0,18.0,1.2,1,1,0,0,1,0,0,0,0,0,0,0,0.0,0.9562043795620438,15.0
DEV_8,Fish,,Female,8.0,Cardiovascular,Myocarditis,9.8,8.2,13.4,319.0,,13.0,,,1.6,0,0,0,0,0,0,0,0,0,0,0,0,1.1951219512195124,0.0,0.0
DEV_9,Parrot,Purebred,Male,7.2,Gastrointestinal,Enteritis,11.9,5.1,17.8,489.0,93.0,14.0,61.0,51.0,,0,0,1,1,0,0,0,1,0,0,0,0,2.3333333333333335,0.22950819672131148,0.0
