Animal,Age,Gender,Breed,WBC,RBC,Hemoglobin,Platelets,Glucose,ALT,AST,Urea,Creatinine,Symptom_Fever,Symptom_Lethargy,Symptom_Vomiting,Symptom_Diarrhea,Symptom_WeightLoss,Symptom_SkinLesion,Symptom_Coughing,Symptom_Lameness,Category,Disease
Goat,3.2,Female,Mixed,8.4,5.9,12.4,292.0,136.0,31.0,46.0,16.0,1.3,0,0,0,0,0,0,0,0,Metabolic,Copper Deficiency
Dog,8.1,Female,Mixed,7.2,6.2,12.6,258.0,115.0,48.0,51.0,19.0,1.2,0,0,0,0,0,0,0,0,Metabolic,Kidney Disease
Alpaca,7.0,Female,Mixed,9.9,6.6,13.2,220.0,107.0,38.0,25.0,25.0,0.8,0,0,0,0,0,0,0,1,Musculoskeletal,White Muscle Disease
Pig,5.0,Female,Purebred,11.1,5.4,15.9,355.0,118.0,56.0,44.0,33.0,0.9,0,0,0,0,0,0,0,0,Bacterial,Mycoplasma Pneumonia
Chicken,4.4,Male,Purebred,9.9,6.2,13.1,259.0,87.0,21.0,37.0,23.0,1.0,0,0,0,0,0,0,0,0,Respiratory,Aspergillosis
Alpaca,12.0,Male,Mixed,16.2,6.3,15.7,370.0,98.0,24.0,35.0,28.0,1.3,1,0,0,0,0,0,0,0,Viral,West Nile Virus
Cattle,2.2,Female,Crossbreed,15.5,6.1,15.1,299.0,101.0,37.0,21.0,17.0,0.8,1,0,0,0,0,0,0,0,Viral,Bluetongue
Pig,4.1,Male,Crossbreed,9.0,5.2,12.3,258.0,86.0,57.0,52.0,28.0,1.4,0,0,0,0,0,0,0,0,Cardiovascular,Myocarditis
Parrot,5.2,Male,Mixed,7.3,5.2,12.9,285.0,108.0,74.0,20.0,25.0,1.1,0,0,0,0,0,0,0,0,Metabolic,Gout
Parrot,5.2,Female,Mixed,7.6,5.1,13.0,249.0,108.0,48.0,26.0,35.0,1.0,0,0,1,1,0,0,0,0,Gastrointestinal,Candidiasis GI
Sheep,9.7,Female,Purebred,8.1,5.9,14.2,319.0,83.0,35.0,30.0,31.0,1.1,0,0,1,1,0,0,0,0,Gastrointestinal,Enterotoxemia
Snake,2.7,Male,Purebred,8.8,6.7,13.3,244.0,108.0,52.0,34.0,17.0,1.5,0,0,1,1,0,0,0,0,Gastrointestinal,Inclusion Body Disease GI
Chicken,5.4,Male,Purebred,18.6,6.8,13.0,332.0,113.0,42.0,41.0,20.0,0.9,1,0,0,0,0,0,0,0,Viral,Infectious Bronchitis
Rabbit,10.7,Female,Crossbreed,18.4,5.8,15.6,370.0,117.0,51.0,47.0,27.0,1.1,1,0,0,0,0,0,0,0,Viral,Rabies
Llama,7.5,Male,Mixed,6.9,6.4,12.9,265.0,110.0,46.0,54.0,28.0,1.2,0,0,0,1,0,0,0,0,Gastrointestinal,Enterotoxemia
Duck,7.6,Female,Crossbreed,7.7,4.6,14.6,334.0,115.0,29.0,40.0,26.0,1.3,0,0,0,0,0,0,0,0,Cardiovascular,Heart Failure
Parrot,4.6,Female,Crossbreed,9.0,6.9,13.3,311.0,102.0,108.0,23.0,21.0,0.9,0,0,0,0,0,0,0,0,Metabolic,Obesity
Llama,14.1,Female,Crossbreed,14.6,5.2,14.5,398.0,86.0,41.0,55.0,30.0,1.3,1,0,0,0,0,0,0,0,Viral,Bovine Viral Diarrhea
GuineaPig,12.2,Male,Mixed,6.3,5.0,14.5,239.0,83.0,36.0,22.0,33.0,0.8,0,0,0,0,0,0,0,1,Musculoskeletal,Arthritis
Alpaca,8.4,Male,Purebred,14.2,5.1,12.1,365.0,94.0,25.0,41.0,30.0,1.0,0,0,0,0,0,0,0,0,Viral,Bovine Viral Diarrhea
Turkey,6.5,Male,Crossbreed,6.6,5.3,15.9,343.0,82.0,36.0,37.0,30.0,1.0,0,0,0,0,0,0,0,0,Gastrointestinal,Hemorrhagic Enteritis
Rabbit,1.3,Female,Mixed,7.8,5.5,12.4,237.0,154.0,57.0,41.0,28.0,1.1,0,0,0,0,0,0,0,0,Metabolic,Urolithiasis
Snake,2.2,Male,Purebred,6.4,4.1,13.2,396.0,87.0,21.0,51.0,31.0,1.0,0,0,0,0,1,0,0,0,Parasitic,Internal Worms
